"[Setting]"
"Graph","Graph8"
"File Name","E:\??? ???? ???\2.????\MW#01\Auto_0006\SOUND\NL_001_20180913_170920_130dB_0006_0000_ST0001.wav"
"Channel","1"
"Sampling Frequency","48000"
"Calibration","Calibrated"
"Y Label","Pa      "
"Data Time","0d 00:00:40.000"
"Start Time","0d 00:02:50.000"
"End Time","0d 00:03:30.000"
"HPF Cutoff Frequency","----"
"HPF Order","OFF"
"LPF Cutoff Frequency","----"
"LPF Order","OFF"
"Dif-Int Filter","OFF"
"Analysis","Wave"
"Frequency Weighting","Z"
"Time Weighting","F"
"Calc Start Time","0d 00:00:00.000"
"Calc End Time","0d 00:00:00.000"

"[Calc Data]"
"Max","Time of Max","Min","Time of Min","Average","Variance","Root Mean Square"
"-----","-----","-----","-----","-----","-----","-----"

"[Tshort Data]"
"Time","Amplitude"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.000","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","0.000000E+0"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.001","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","0.000000E+0"
"0d 00:02:50.002","0.000000E+0"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.002","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
"0d 00:02:50.003","8.621445E-3"
